#Se prueva los comentarios 
# FilaA	FilaB
30 P	60 A
0  A	0  A
0  P	60 A
60 A	60 A
0  A	60 A
0  P	60 A
30 A	30 A
30 A	30 A
60 A	30 A
60 A	0  P
60 P	30 P
0  A	0  A
30 P	60 P
0  P	60 P
30 A	0  P
60 A	0  P
60 A	0  A
30 P	60 A
30 A	60 P
30 A	60 A
60 P	30 P
60 P	0  A
60 P	30 P
30 P	0  P
60 A	30 A
0  A	60 A
0  P	0  P
0  P	60 A
60 P	60 P
30 P	30 P
0  A	30 P
30 P	0  P
60 P	0  A
30 A	30 A
0  P	0  P
30 A	30 A
60 A	60 A
0  A	0  A
30 A	30 A
30 A	30 A
60 P	30 P
60 A	0  A
60 P	0  A
0  P	0  P
60 P	0  P
0  P	60 A
0  P	30 A
60 P	60 P
60 A	30 A
60 A	0  P
60 P	0  A
30 P	60 P
0  A	0  A
60 A	30 A
60 P	0  A
0  A	60 P
0  P	30 P
0  P	0  P
60 P	60 P
60 P	0  P
60 P	60 P
60 A	30 P
60 A	0  P
30 A	30 A
60 P	0  A
60 A	0  A
30 P	30 P
30 A	0  P
60 A	0  P
30 P	0  A
0  A	60 P
0  P	30 P
60 P	30 A
30 P	0  P
0  A	0  A
30 P	0  P
60 A	60 A
60 A	0  A
0  P	0  P
60 A	60 A
60 A	0  P
0  A	0  A
0  A	60 A
0  A	60 A
30 P	0  P
30 P	60 A
0  A	0  A
30 A	0  P
30 A	0  A
0  A	30 A
0  P	30 A
30 P	30 P
0  A	0  A
30 A	0  P
30 P	60 A
0  P	60 A
30 P	60 A
0  P	30 A
30 P	30 P
60 P	30 P
60 P	60 P
30 P	30 P
60 P	30 A
30 A	60 P
60 P	60 P
0  A	60 P
30 P	0  A
30 P	30 P
0  P	60 P
60 A	0  P
0  P	0  P
0  P	30 A
60 A	30 A
60 P	0  P
30 P	0  A
0  A	60 P
0  A	30 A
60 P	30 A
30 P	30 P
0  P	60 P
60 A	30 P
0  P	60 P
60 A	30 A
0  A	30 A
60 A	60 A
0  P	30 P
0  P	60 P
0  A	0  A
30 A	60 A
60 A	0  P
60 P	30 P
60 A	30 A
0  P	0  P
0  P	60 A
60 P	30 A
0  A	0  A
30 A	30 A
30 A	0  A
0  P	0  P
0  P	0  P
0  P	30 P
0  P	30 A
0  A	30 P
30 A	30 A
0  A	30 P
60 P	60 P
60 P	60 P
30 A	0  P
60 P	30 A
30 A	30 A
30 A	30 A
0  A	0  A
0  A	30 A
0  A	60 P
60 P	0  P
60 P	60 P
60 P	60 P
30 A	0  P
60 P	30 P
0  P	30 P
60 P	0  A
0  P	30 A
30 A	0  P
30 P	60 P
60 A	30 P
30 A	30 A
0  P	0  P
60 P	0  A
60 A	0  A
60 P	30 P
60 P	0  A
0  P	60 A
0  P	0  P
0  P	30 A
60 A	60 A
0  A	0  A
0  A	30 A
0  P	30 P
30 A	30 A
0  A	60 A
0  P	30 A
0  A	0  A
30 P	0  P
30 P	60 A
0  P	60 P
30 A	60 A
60 A	0  P
30 A	30 A
0  A	30 P
60 P	30 A
0  A	0  A
60 P	30 A
30 A	30 A
30 P	60 A
30 P	30 P
0  A	30 P
30 P	60 P
0  P	60 A
0  P	60 P
60 A	30 P
30 P	0  P
0  A	30 P
0  A	60 P
30 P	30 P
0  A	60 A
0  P	30 P
30 P	60 A
30 P	60 P
60 P	0  P
0  P	60 A
30 A	60 P
0  P	30 A
30 A	30 A
30 P	30 P
60 P	60 P
30 P	0  A
0  A	30 A
60 P	30 P
0  P	60 P
0  P	30 P
0  P	60 P
0  A	60 A
30 P	0  P
60 A	30 A
60 A	30 P
30 P	60 P
30 A	0  P
0  A	30 P
0  P	0  P
60 A	0  A
30 P	60 A
0  P	30 P
60 A	0  P
60 P	60 P
60 P	0  P
30 A	60 P
0  A	30 A
60 P	60 P
60 P	60 P
60 P	30 P
60 P	30 A
60 P	60 P
0  A	60 A
30 P	0  P
30 A	60 A
60 P	60 P
60 A	30 A
30 A	60 A
60 A	60 A
30 A	30 A
60 P	60 P
0  A	0  A
0  A	0  A
0  A	0  A
60 P	30 A
30 P	0  P
0  A	60 A
60 P	30 A
30 P	30 P
0  P	0  P
30 A	30 A
60 A	0  A
30 P	0  P
30 A	60 P
30 P	0  A
0  A	60 A
0  A	0  A
60 P	60 P
30 P	30 P
0  A	0  A
0  P	30 P
30 P	0  A
30 A	60 A
0  P	30 P
30 P	60 A
60 A	0  P
60 A	0  A
0  P	30 A
60 A	0  A
30 A	60 A
60 A	0  A
0  A	0  A
0  A	30 P
30 P	60 P
0  A	60 P
60 A	60 A
60 P	0  A
0  A	30 P
30 A	30 A
30 A	30 A
0  P	0  P
60 A	60 A
0  A	30 P
30 A	0  P
30 P	30 P
30 A	60 P
60 P	30 P
60 P	30 P
30 P	0  P
60 P	30 A
0  A	30 A
0  P	0  P
60 A	30 P
0  P	0  P
30 P	30 P
30 A	30 A
0  P	30 P
60 A	0  A
30 P	30 P
30 P	60 P
60 P	30 P
0  P	0  P
30 A	30 A
0  A	30 A
0  A	30 A
30 A	30 A
30 A	0  P
0  P	0  P
30 A	30 A
0  P	30 P
30 P	30 P
60 A	60 A
60 A	30 P
0  P	30 P
30 A	60 P
30 A	60 P
0  P	60 P
30 P	30 P
60 A	60 A
60 A	30 P
60 P	30 P
30 P	0  P
0  A	0  A
30 A	0  P
60 P	60 P
30 P	0  P
60 P	30 P
30 P	0  P
0  P	60 A
0  P	0  P
60 A	30 A
30 A	60 A
0  P	0  P
30 A	30 A
30 A	30 A
60 A	0  A
0  A	30 P
60 A	30 P
60 A	0  A
0  P	60 A
0  P	30 P
30 P	60 P
30 A	30 A
0  P	0  P
30 A	60 A
30 A	60 A
60 P	30 P
0  P	0  P
0  A	0  A
0  A	0  A
30 A	30 A
0  P	0  P
60 A	0  P
30 A	0  A
0  P	0  P
0  P	0  P
60 P	0  P
30 A	60 P
60 P	30 P
60 P	30 P
60 P	0  A
0  P	60 A
60 P	0  P
60 A	0  P
30 A	60 P
60 P	60 P
30 A	0  P
0  P	60 A
0  P	0  P
30 P	30 P
60 A	0  A
30 A	60 A
60 A	30 A
30 A	30 A
0  A	60 A
0  P	0  P
30 P	30 P
60 P	0  P
30 A	60 P
60 P	0  A
0  A	60 A
30 P	60 P
30 A	30 A
60 A	30 A
60 P	30 P
60 P	30 A
60 A	0  A
0  P	60 A
60 P	30 A
30 P	30 P
30 P	60 A
60 P	30 P
0  A	30 P
60 A	60 A
60 P	30 P
0  P	60 P
30 P	30 P
0  A	0  A
0  A	0  A
60 P	0  P
60 A	30 P
60 P	30 A
60 A	30 A
30 A	30 A
30 A	0  P
30 P	30 P
30 P	60 A
30 P	30 P
30 P	60 P
0  P	30 P
30 P	0  P
0  A	0  A
0  A	30 P
30 A	0  A
30 P	30 P
60 P	30 A
30 A	30 A
30 P	30 P
60 P	60 P
60 P	0  P
60 A	0  A
60 A	0  P
60 P	30 P
60 A	60 A
0  A	0  A
0  A	30 P
0  P	0  P
0  A	30 A
30 P	60 A
60 A	30 A
30 P	30 P
30 A	30 A
0  P	0  P
30 A	0  P
60 P	60 P
0  P	30 P
60 P	0  A
0  A	60 P
0  A	60 A
0  P	0  P
30 P	30 P
60 P	0  P
0  P	60 A
30 A	30 A
60 P	30 A
30 A	60 A
60 P	0  P
0  A	0  A
60 P	30 A
30 A	30 A
30 P	30 P
30 A	60 P
30 A	0  A
60 P	30 A
0  P	30 A
60 A	60 A
60 A	30 A
30 P	60 A
30 P	0  P
30 P	60 P
0  A	60 A
60 A	0  P
30 A	0  P
60 A	30 A
30 P	0  P
60 P	0  P
30 A	0  A
30 A	60 P
30 P	0  P
60 A	0  A
30 P	0  A
0  P	0  P
0  A	60 P
0  P	60 A
60 A	60 A
30 P	0  P
0  A	0  A
0  A	30 P
0  A	60 A
60 A	0  A
30 A	30 A
60 A	60 A
0  P	0  P
60 P	60 P
0  P	0  P
60 A	60 A
0  A	0  A
30 P	30 P
30 A	0  A
60 A	0  P
30 A	60 P
30 P	30 P
30 A	30 A
30 P	30 P
60 P	0  A
0  P	0  P
60 P	60 P
30 A	30 A
30 P	0  A
30 P	30 P
0  P	60 P
60 A	0  A
0  A	30 A
0  A	30 P
0  A	0  A
0  A	60 A
60 A	0  A
60 P	60 P
30 P	0  A
0  P	60 P
60 P	30 P
60 A	30 A
0  P	0  P
0  P	30 P
0  P	30 P
60 P	0  A
0  P	30 P
60 P	0  A
60 A	60 A
0  A	0  A
60 A	30 P
0  P	30 A
30 P	0  A
60 A	30 A
60 P	0  P
30 P	60 A
30 P	30 P
30 A	60 P
60 P	60 P
30 P	0  A
30 P	30 P
60 P	60 P
60 A	60 A
30 A	30 A
60 P	60 P
30 P	60 P
0  P	0  P
30 A	30 A
60 A	30 P
30 P	0  A
30 P	0  P
0  A	0  A
0  P	60 A
60 P	60 P
0  P	30 A
60 A	0  P
60 P	60 P
60 A	30 P
60 P	60 P
0  A	30 A
30 P	0  A
60 A	30 P
60 P	30 A
30 A	0  A
30 P	0  P
60 P	30 A
0  A	60 A
0  A	60 P
60 P	60 P
30 A	0  A
60 P	30 P
0  P	30 P
60 A	30 A
0  A	0  A
30 A	30 A
0  P	60 A
30 P	30 P
60 P	60 P
30 A	60 P
60 A	60 A
0  A	30 P
0  A	30 A
30 A	60 A
30 P	30 P
30 A	0  A
0  A	0  A
0  A	30 P
60 P	60 P
30 P	60 A
60 P	0  A
30 A	30 A
30 P	30 P
60 P	30 P
60 P	0  P
60 P	60 P
30 P	0  A
0  A	60 P
30 P	0  A
60 A	0  P
60 A	60 A
0  P	60 A
30 P	30 P
0  P	0  P
30 P	60 P
0  A	30 A
0  P	60 P
30 A	60 A
60 A	60 A
60 P	30 A
0  P	60 P
60 P	30 A
30 P	30 P
0  P	0  P
30 P	30 P
60 A	60 A
60 A	60 A
60 P	60 P
0  A	60 A
30 A	60 P
60 A	0  P
60 A	60 A
0  P	0  P
60 P	60 P
60 P	0  A
30 A	0  P
30 P	0  A
60 A	60 A
60 A	60 A
60 A	30 A
60 A	30 A
0  A	60 P
0  P	60 P
60 A	0  A
0  P	30 A
30 A	0  P
60 A	60 A
30 A	30 A
60 P	30 A
60 A	0  A
30 A	30 A
60 P	60 P
60 P	30 A
0  P	30 A
0  P	60 A
60 P	30 A
30 A	30 A
60 P	30 P
30 A	0  A
30 P	30 P
30 P	30 P
60 A	0  P
30 P	0  P
60 A	60 A
60 P	60 P
0  A	0  A
60 P	30 P
30 A	60 P
60 P	60 P
0  A	0  A
60 P	0  A
30 P	60 P
30 A	0  A
0  A	0  A
60 A	0  A
30 P	30 P
30 A	30 A
60 A	30 A
30 P	60 A
60 P	30 A
0  A	30 P
60 A	60 A
60 A	0  P
0  A	0  A
30 A	30 A
0  P	0  P
0  P	60 A
30 A	60 A
30 A	30 A
0  P	30 A
60 A	60 A
0  P	30 P
30 A	30 A
60 P	30 A
60 A	0  A
60 A	0  A
0  P	30 A
60 P	60 P
60 A	0  P
60 A	60 A
60 P	60 P
30 P	0  A
60 P	30 A
0  A	30 P
30 A	60 P
60 A	60 A
30 A	0  A
30 P	60 A
30 A	60 A
60 A	0  P
0  P	0  P
30 P	30 P
30 P	30 P
0  P	60 A
60 A	0  P
0  A	30 P
0  P	30 P
30 A	0  P
30 P	30 P
0  P	60 P
0  P	0  P
0  A	60 P
60 P	30 P
60 A	0  A
60 P	0  P
0  P	30 P
30 P	0  P
30 A	30 A
0  P	0  P
30 A	60 A
30 A	30 A
30 P	30 P
60 P	30 A
30 A	0  P
30 A	30 A
60 A	0  P
30 P	30 P
30 P	0  P
0  A	60 A
0  A	30 P
60 A	30 A
60 P	30 P
30 A	0  A
0  A	60 A
30 A	0  A
0  P	0  P
0  A	60 P
0  A	60 P
0  P	0  P
30 A	0  A
0  A	0  A
30 A	0  A
30 A	60 A
0  A	60 P
0  P	0  P
30 A	60 P
30 A	0  A
60 P	30 A
30 P	60 P
0  P	0  P
0  A	60 A
0  A	0  A
0  P	0  P
0  P	30 A
0  A	30 P
30 P	0  A
60 A	0  P
60 P	60 P
0  A	0  A
30 P	0  A
0  P	30 A
30 P	60 P
60 P	30 P
60 P	0  A
30 P	30 P
60 A	60 A
60 P	60 P
0  A	30 P
30 P	30 P
60 P	30 P
60 P	0  A
30 P	0  P
60 A	60 A
30 P	0  A
30 P	60 P
60 A	0  P
30 P	60 P
0  A	0  A
60 A	30 P
0  P	30 P
0  P	30 A
0  P	60 A
0  A	60 P
60 P	0  P
0  P	60 A
0  A	0  A
0  P	60 P
60 P	30 P
0  P	30 P
60 A	60 A
0  A	30 P
30 P	60 P
30 P	0  P
30 A	60 P
0  A	30 A
60 A	0  A
30 P	30 P
30 A	30 A
30 P	30 P
0  P	0  P
30 A	30 A
0  P	0  P
60 A	60 A
60 P	30 P
0  P	30 P
0  P	0  P
60 A	0  A
60 A	60 A
30 A	60 P
60 P	30 A
60 P	30 P
0  P	0  P
0  A	0  A
30 A	0  A
60 A	0  A
30 A	0  P
30 P	60 P
30 A	60 A
30 A	0  A
30 A	60 P
60 P	60 P
0  P	30 A
0  P	60 P
0  A	60 P
60 P	30 A
30 P	30 P
30 A	0  P
0  P	60 A
60 P	0  A
0  P	30 P
60 P	60 P
0  A	60 A
0  A	0  A
60 P	60 P
60 A	0  A
30 P	0  P
0  A	30 P
60 A	30 P
30 P	30 P
0  A	60 A
0  A	30 A
0  A	30 A
0  P	60 P
0  A	30 P
0  A	30 A
30 A	30 A
30 P	60 P
30 P	60 A
30 P	0  P
0  A	0  A
60 P	30 A
60 A	0  A
30 A	30 A
30 P	0  P
0  P	30 P
0  A	30 P
60 P	60 P
0  P	30 P
0  A	0  A
30 A	60 A
0  P	30 A
60 P	60 P
0  A	30 A
60 A	0  P
60 P	0  P
0  P	0  P
0  A	30 P
0  A	60 A
30 P	30 P
30 A	60 A
30 A	0  P
60 A	0  A
0  P	60 A
60 A	60 A
60 P	0  P
0  P	0  P
0  P	60 P
60 P	0  P
0  P	30 P
30 A	60 A
30 A	30 A
30 P	0  A
60 P	60 P
0  A	60 A
30 A	60 P
60 A	30 A
60 A	30 A
30 A	30 A
60 P	60 P
0  P	0  P
30 P	60 P
60 P	0  A
60 A	30 A
0  P	0  P
0  A	60 P
30 P	60 P
60 A	0  A
30 A	30 A
60 P	60 P
60 P	0  P
0  P	30 A
0  P	60 P
0  P	60 P
0  A	30 A
60 A	60 A
60 P	60 P
30 P	60 A
60 A	30 A
60 A	30 P
30 P	0  P
0  A	60 P
30 P	0  P
0  P	0  P
0  P	0  P
0  A	60 A
0  P	60 A
60 P	0  A
30 A	30 A
0  P	30 A
30 A	30 A
30 A	30 A
30 A	0  P
30 P	30 P
0  P	30 P
60 A	0  P
30 P	60 P
30 A	30 A
60 P	0  P
0  P	0  P
30 P	30 P
30 P	60 A
0  P	60 A
60 P	60 P
30 P	60 A
30 A	0  P
30 A	30 A
0  A	30 P
0  A	0  A
60 P	30 P
30 P	30 P
60 A	30 A
0  P	60 A
30 P	60 A
60 P	30 P
60 A	30 A
0  A	60 A
30 A	0  P
30 A	60 A
30 A	30 A
60 A	30 A
30 A	0  P
0  P	60 P
30 A	30 A
30 A	60 P
60 P	60 P
0  A	60 P
30 A	0  P
60 A	60 A
60 P	0  A
30 A	60 P
60 P	60 P
60 A	30 P
30 P	30 P
60 A	0  A
60 A	60 A
30 A	0  A
60 P	60 P
30 A	30 A
30 P	30 P
0  P	0  P
60 P	0  P
30 A	30 A
30 P	60 A
60 P	60 P
0  A	0  A
60 A	60 A
60 A	0  P
30 P	30 P
0  A	30 P
60 A	30 A
60 A	60 A
0  A	60 A
0  A	60 P
0  A	60 P
0  P	60 P
30 A	30 A
30 P	60 P
60 P	0  A
60 A	60 A
60 A	0  A
30 P	0  A
30 A	0  A
30 P	30 P
60 P	30 P
0  P	60 P
30 P	30 P
60 A	30 P
30 P	0  A
60 P	30 P
30 A	60 P
0  P	0  P
30 A	0  A
30 P	0  P
0  A	30 P
0  P	30 A
60 P	30 A
0  P	0  P
0  P	0  P
30 P	0  A
0  P	30 P
0  A	30 P
60 A	30 A
0  P	60 A
60 A	60 A
0  P	60 A
0  P	0  P
30 P	0  P
60 A	60 A
60 A	30 P
60 P	60 P
0  A	30 A
0  A	60 P
60 A	0  A
0  P	60 P
30 A	60 A
60 A	0  A
30 A	60 A
0  P	0  P
0  A	60 A
30 P	0  P
0  A	0  A
30 P	0  A
0  A	60 A
60 A	30 A
0  P	60 A
60 P	60 P
60 A	0  P
0  P	60 P
60 A	60 A
60 P	0  P
0  P	30 A
0  P	30 A
30 P	60 P
60 A	30 P
60 P	30 P
60 A	30 A
0  A	60 A
60 A	0  P
30 A	0  P
30 P	60 P
30 A	30 A
60 P	60 P
0  P	30 P
30 A	0  A
0  A	30 P
60 A	60 A
60 A	0  A
0  A	60 A
30 P	30 P
30 P	0  P
30 P	60 P
60 A	30 A
0  P	60 P
0  A	30 P
30 A	0  A
30 P	30 P
60 A	30 P
60 P	60 P
60 A	30 A
60 P	60 P
60 A	30 P
60 A	60 A
0  P	0  P
0  P	0  P
0  A	30 P
30 P	60 A
30 A	0  P
0  P	0  P
60 A	60 A
0  P	30 P
0  P	0  P
60 P	0  A
60 P	30 P
60 A	60 A
30 P	30 P
60 P	60 P
30 P	0  P
60 P	30 P
60 P	60 P
30 P	60 P
30 P	0  P
0  A	0  A
60 P	0  A
0  P	0  P
30 A	60 A
60 P	30 A
60 A	30 A
30 P	60 P
30 A	30 A
0  P	0  P
60 A	30 A
0  P	30 A
0  P	0  P
0  A	30 A
0  A	60 P
60 P	60 P
60 P	0  P
60 P	60 P
30 P	60 A
30 A	30 A
60 P	30 A
30 P	30 P
30 P	30 P
60 A	30 A
30 A	0  A
0  A	60 A
30 A	30 A
30 A	30 A
30 A	60 P
30 A	0  P
60 P	0  P
0  P	0  P
0  P	30 P
30 P	0  P
0  A	30 P
0  A	0  A
30 A	0  A
60 A	60 A
60 A	0  A
30 A	0  A
30 A	0  P
60 A	0  A
60 A	60 A
0  P	60 P
0  P	0  P
0  A	30 P
0  A	60 P
60 A	30 P
60 A	30 P
30 P	0  A
30 P	60 P
0  A	60 P
60 A	0  P
30 P	30 P
60 A	60 A
0  P	30 A
0  A	0  A
30 A	0  P
0  A	60 P
0  P	60 P
60 P	60 P
0  A	60 P
60 A	60 A
30 A	0  A
0  P	60 A
0  P	0  P
60 A	60 A
0  P	60 A
60 P	0  P
30 P	60 A
30 P	0  P
60 P	60 P
60 A	60 A
30 A	0  P
0  A	60 P
0  A	30 P
0  P	60 P
0  A	30 P
30 A	0  P
60 A	0  A
0  P	60 A
30 P	60 P
0  P	30 P
60 P	30 P
60 A	60 A
30 A	30 A
0  A	30 A
60 P	60 P
60 A	60 A
30 P	30 P
0  P	60 P
30 A	0  A
0  P	60 P
30 P	0  P
60 P	0  A
30 A	0  A
30 P	0  P
60 A	30 P
30 A	30 A
0  P	0  P
0  P	30 A
30 P	60 P
0  A	60 A
0  A	60 P
0  P	30 P
30 A	0  P
0  P	0  P
60 A	0  A
60 A	30 P
30 A	60 P
30 A	60 A
30 P	0  A
60 P	0  A
30 P	30 P
0  A	30 A
0  A	0  A
0  P	0  P
30 P	60 A
60 A	30 A
0  A	60 A
60 A	60 A
0  A	30 P
60 A	60 A
30 P	30 P
60 P	60 P
60 A	60 A
30 A	60 A
30 A	30 A
30 P	30 P
60 A	30 P
60 P	0  P
30 P	30 P
30 A	30 A
0  A	30 A
30 A	60 P
60 P	60 P
0  A	0  A
60 P	0  A
0  A	60 A
60 A	0  P
60 A	0  A
60 A	60 A
30 P	30 P
0  A	60 P
0  P	0  P
60 A	60 A
60 A	0  A
30 P	0  P
30 A	0  A
0  P	0  P
30 P	60 P
60 P	60 P
60 P	0  A
30 A	60 P
30 A	30 A
60 A	60 A
0  A	0  A
0  P	30 P
0  P	60 A
60 A	60 A
0  A	0  A
0  P	30 P
0  A	60 A
60 P	30 P
30 P	0  P
0  A	60 P
30 A	30 A
0  P	0  P
0  P	0  P
0  P	60 P
30 A	30 A
0  P	0  P
30 P	30 P
0  A	0  A
0  P	0  P
0  P	0  P
30 P	0  P
60 A	30 A
60 A	0  P
0  P	60 A
60 A	30 P
60 A	30 P
0  P	60 P
0  A	60 P
0  A	0  A
30 P	30 P
30 A	0  A
0  P	60 P
30 P	30 P
60 P	30 A
60 A	60 A
60 A	0  P
60 A	30 A
0  P	30 A
0  A	0  A
60 P	30 A
0  P	0  P
30 A	30 A
30 A	30 A
60 A	0  A
0  P	30 P
60 P	60 P
60 A	0  A
60 P	60 P
60 P	60 P
0  P	30 A
30 A	30 A
0  A	30 P
0  A	60 P
0  P	0  P
60 A	60 A
60 P	30 A
30 P	0  P
60 P	0  P
30 P	30 P
30 P	60 P
0  A	60 A
0  P	0  P
0  P	0  P
0  P	60 P
0  A	0  A
0  A	0  A
0  P	30 A
0  P	60 A
0  A	30 P
60 P	0  P
60 P	0  P
30 A	30 A
60 A	0  A
0  A	60 A
60 P	60 P
60 P	30 A
30 A	0  P
60 A	60 A
60 A	30 A
0  P	30 P
0  A	0  A
60 A	0  A
0  P	30 A
30 A	60 P
0  A	30 A
0  P	30 P
30 A	0  P
0  A	30 P
60 A	60 A
30 A	0  A
30 P	60 A
60 A	0  P
60 P	60 P
60 P	30 A
30 A	30 A
0  P	30 P
30 A	0  A
30 P	30 P
0  A	0  A
60 P	30 P
30 P	0  P
60 P	60 P
30 P	30 P
30 A	0  P
30 A	0  P
0  P	60 P
30 P	0  A
60 A	0  A
60 P	30 P
0  P	0  P
30 A	60 P
30 P	60 A
0  P	60 P
0  P	60 P
0  A	60 A
60 P	30 A
60 A	30 A
30 P	60 A
0  P	0  P
60 A	0  P
0  P	0  P
0  P	30 P
60 A	30 P
0  A	0  A
60 P	60 P
0  A	60 P
0  P	0  P
0  P	0  P
30 P	0  A
30 P	30 P
0  A	0  A
30 P	60 P
60 P	60 P
60 P	60 P
30 P	60 P
0  A	0  A
30 P	0  A
0  P	30 A
0  A	30 P
60 P	30 P
30 P	60 A
30 P	30 P
0  A	30 A
30 P	60 A
30 A	30 A
60 A	60 A
30 A	60 P
30 P	30 P
60 A	30 P
60 A	30 P
0  P	0  P
0  A	60 A
30 P	60 P
60 P	0  P
60 A	60 A
0  P	60 A
60 P	30 A
30 A	30 A
30 P	0  A
0  P	0  P
60 A	30 P
60 A	30 P
60 P	30 A
60 P	30 P
60 A	60 A
0  P	30 A
30 A	0  A
30 A	60 A
30 A	60 P
30 A	30 A
0  A	0  A
0  P	30 A
0  A	60 P
60 P	60 P
60 P	0  P
0  A	30 P
60 A	0  A
60 P	0  A
30 P	60 P
60 P	30 P
60 A	60 A
0  A	30 A
60 P	30 P
0  A	0  A
0  A	60 A
0  A	30 A
30 P	0  P
30 A	0  P
0  P	60 A
30 A	30 A
60 P	30 A
60 P	30 A
0  P	30 A
30 A	0  A
30 P	0  P
30 P	30 P
30 A	0  P
0  A	30 P
30 A	60 A
0  A	60 A
60 P	0  A
30 P	60 P
0  P	60 P
60 P	60 P
30 P	60 P
60 P	30 P
0  P	60 P
30 P	0  P
0  A	30 P
60 P	0  A
60 P	30 P
0  P	0  P
30 P	0  P
60 P	0  A
60 A	30 A
0  A	0  A
0  A	30 P
0  A	30 A
0  A	30 P
60 A	60 A
30 A	30 A
30 P	60 A
0  P	0  P
60 A	60 A
30 P	60 P
30 P	60 P
0  A	0  A
0  A	0  A
30 A	60 A
0  A	0  A
60 A	60 A
0  A	30 A
0  P	30 P
60 A	30 A
0  P	0  P
30 P	60 A
0  P	0  P
30 A	30 A
60 P	0  P
0  A	0  A
60 P	60 P
30 P	0  P
0  A	60 A
0  P	0  P
60 P	30 P
30 P	60 P
30 P	0  A
30 A	60 A
30 P	60 A
60 P	30 A
60 P	0  P
60 A	30 A
60 A	0  A
60 P	0  P
0  P	30 A
0  P	0  P
60 P	0  A
0  A	30 A
60 A	60 A
30 P	30 P
60 P	30 P
30 A	60 P
30 A	60 A
0  A	30 A
30 P	0  P
0  A	30 P
0  P	0  P
30 A	0  A
60 P	0  P
60 P	60 P
30 A	0  P
60 A	30 A
60 P	30 P
60 P	0  A
0  P	60 P
60 P	30 A
0  P	60 A
60 P	0  A
0  P	0  P
60 P	60 P
0  P	0  P
60 P	0  A
0  P	60 P
30 A	30 A
0  P	60 P
60 A	30 A
30 P	60 P
0  P	60 A
60 P	0  P
0  P	30 A
0  P	30 P
30 P	30 P
30 A	30 A
60 P	30 P
60 P	30 A
30 A	30 A
30 P	30 P
30 A	0  A
60 A	30 P
30 P	60 A
60 A	0  P
30 P	60 A
0  A	30 A
60 P	60 P
60 A	0  A
30 P	30 P
30 P	60 P
0  P	0  P
30 P	30 P
60 P	60 P
30 A	60 P
60 A	60 A
30 A	60 P
30 P	60 A
60 A	30 P
60 P	60 P
60 A	30 P
0  P	30 P
60 P	0  P
0  P	60 A
0  P	30 P
30 A	30 A
0  P	0  P
0  P	0  P
30 A	0  P
30 A	30 A
60 P	0  A
0  P	0  P
30 A	0  A
30 A	30 A
30 P	0  P
30 A	30 A
60 P	30 A
0  A	30 P
60 A	60 A
30 P	60 A
0  P	60 P
30 A	30 A
30 P	0  P
30 A	60 A
60 A	60 A
60 A	30 P
60 A	30 A
0  P	0  P
60 A	60 A
30 A	60 A
30 A	60 A
0  A	60 P
30 P	60 P
30 A	60 P
0  A	0  A
30 P	0  A
30 A	30 A
0  P	60 A
0  P	60 P
30 A	0  P
0  A	60 P
0  A	0  A
30 A	0  P
0  A	60 A
0  A	60 P
0  A	60 P
30 P	30 P
30 P	60 P
30 A	0  A
60 P	0  P
60 P	0  P
0  A	0  A
30 P	30 P
60 A	30 P
60 P	0  A
60 P	30 P
60 A	60 A
0  P	60 P
0  A	30 P
60 P	60 P
30 A	0  P
30 A	0  P
30 A	0  A
60 A	30 A
30 A	60 P
60 P	0  A
30 A	0  A
30 P	30 P
30 P	60 P
0  P	60 A
0  A	0  A
0  A	0  A
60 P	60 P
0  A	30 P
0  P	30 P
60 P	60 P
60 A	0  A
30 A	60 P
30 A	30 A
0  P	60 A
60 A	30 A
30 P	30 P
0  P	0  P
60 P	0  P
30 A	30 A
30 P	0  P
0  A	30 A
0  P	0  P
60 A	60 A
0  P	0  P
0  P	0  P
60 A	30 P
30 A	0  A
30 P	30 P
30 A	60 P
60 A	0  A
0  A	60 A
60 A	60 A
30 P	60 P
60 P	30 P
60 A	30 P
0  P	0  P
60 A	60 A
0  A	60 A
60 P	30 P
0  A	60 A
0  A	60 A
30 A	30 A
30 P	60 A
60 A	60 A
60 A	60 A
60 P	30 P
0  A	60 P
0  A	30 P
0  P	0  P
30 P	60 P
0  A	0  A
0  P	0  P
60 A	30 A
0  A	0  A
30 A	0  P
30 A	30 A
30 P	30 P
0  A	30 P
30 P	60 P
30 P	0  A
60 A	60 A
60 P	60 P
30 P	0  P
60 P	60 P
30 A	0  P
0  P	30 A
30 A	0  P
60 P	30 P
30 A	0  P
0  A	30 A
0  P	30 A
30 A	60 P
0  A	0  A
60 A	60 A
30 A	0  P
30 A	60 P
0  P	30 A
60 P	60 P
30 P	0  A
0  P	60 P
60 A	30 A
30 A	0  P
60 A	60 A
0  A	0  A
60 A	30 P
30 A	30 A
60 P	60 P
0  A	60 P
0  A	30 A
60 A	0  A
30 A	30 A
30 A	30 A
30 A	60 P
0  A	30 P
30 P	30 P
30 P	0  A
60 P	60 P
30 A	60 A
30 P	60 A
0  P	0  P
30 P	60 A
60 A	30 A
60 P	60 P
30 P	30 P
60 P	0  A
30 A	60 P
0  A	0  A
30 A	30 A
30 P	30 P
30 A	60 A
0  A	60 P
60 A	0  P
30 P	60 P
0  A	60 P
0  A	30 P
0  P	0  P
60 P	60 P
60 A	0  P
0  P	0  P
0  P	30 A
